# DATI STATISTICHE AGENTE
# Codice Agente: 631.00263
# Ragione Sociale: G2G TRADE CONSULTING SRL
# Periodo: 01/01/2025 - 31/08/2025

## SEZIONE 1: VERIFICA OBIETTIVI
Tipo_Dato,Provincia,Anno_Precedente,Anno_Corrente,Obiettivo,Percentuale_Obiettivo,Clienti_Anno_Precedente,Clienti_Anno_Corrente,Obiettivo_Clienti,Percentuale_Obiettivo_Clienti
OBIETTIVI,Generale,"100.612,29","132.483,77",,,183,14,,
OBIETTIVI,AN,"56.773,08","75.247,30","90.000,00","70,%",7,7,15,"46,%"
OBIETTIVI,PU,"43.839,21","28.424,27","90.000,00","31,%",7,5,15,"33,%"

## SEZIONE 2: CLIENTI SERVITI PER PROVINCIA
Tipo_Dato,Provincia,Clienti_Serviti,Fatturato
CLIENTI_PROVINCIA,AN,7,"63.306,02"
CLIENTI_PROVINCIA,PU,5,"28.405,71"
CLIENTI_PROVINCIA,ALB,2,"47.726,28"

## SEZIONE 3: DETTAGLIO VENDITE PER CLIENTE
Tipo_Dato,Provincia,Ragione_Sociale_Cliente,Categoria_Articoli,Fatturato
VENDITE_CLIENTE,AN,GAGLIARDINI SRL,COPERTURE,"8.230,00"
VENDITE_CLIENTE,AN,GAGLIARDINI SRL,MATTONE PIENO,"5.396,16"
VENDITE_CLIENTE,AN,GAGLIARDINI SRL,PIASTRELLE,"2.526,39"
VENDITE_CLIENTE,AN,EDILMUSONE SRL,COPERTURE,"2.415,00"
VENDITE_CLIENTE,AN,EDILMUSONE SRL,MATTONE PIENO,"1.987,20"
VENDITE_CLIENTE,AN,TITTARELLI EDILIZIA SRL,COPERTURE,"4.070,00"
VENDITE_CLIENTE,AN,TITTARELLI EDILIZIA SRL,COTTO A MANO ANTICHE TERRE,"0,08"
VENDITE_CLIENTE,PU,GIUSTO GOSTOLI SRL MATERIALI EDILI,FACCIAVISTA,"0,88"
VENDITE_CLIENTE,PU,GIUSTO GOSTOLI SRL MATERIALI EDILI,PIASTRELLE,"4,65"
VENDITE_CLIENTE,PU,EDILNOVA FRONTONE SRL,COPERTURE,"8.932,00"
VENDITE_CLIENTE,PU,EDILNOVA FRONTONE SRL,COTTO A MANO ANTICHE TERRE,"12,32"
VENDITE_CLIENTE,PU,EDILNOVA FRONTONE SRL,MATTONE PIENO,"1.305,60"
VENDITE_CLIENTE,AN,FERRAMENTA SARTI SRL,COPERTURE,"4.356,00"
VENDITE_CLIENTE,AN,FERRAMENTA SARTI SRL,MATTONE PIENO,"691,20"
VENDITE_CLIENTE,PU,EDIL PIEFFE SRL,MATTONE PIENO,"7.286,40"
VENDITE_CLIENTE,PU,RI.M.EDIL SRL,COPERTURE,"5.720,00"
VENDITE_CLIENTE,AN,GIACCHE' SRL,FACCIAVISTA,"1.670,40"
VENDITE_CLIENTE,AN,GIACCHE' SRL,MATTONE PIENO,"18.662,40"
VENDITE_CLIENTE,PU,EDILIZIA PIERETTI SRL,COPERTURE,"4.404,69"
VENDITE_CLIENTE,PU,EDILIZIA PIERETTI SRL,COTTO A MANO ANTICHE TERRE,"4,25"
VENDITE_CLIENTE,PU,EDILIZIA PIERETTI SRL,MATTONE PIENO,"729,60"
VENDITE_CLIENTE,PU,EDILIZIA PIERETTI SRL,PIASTRELLE,"5,32"
VENDITE_CLIENTE,ALB,KONI ARJAN,COPERTURE,"20.122,44"
VENDITE_CLIENTE,ALB,KONI ARJAN,CORRIM.COPRIM.,"540,00"
VENDITE_CLIENTE,ALB,KONI ARJAN,MATTONE PIENO,"252,00"
VENDITE_CLIENTE,ALB,KONI ARJAN,OUTLET,"5.726,50"
VENDITE_CLIENTE,ALB,KONI ARJAN,PIASTRELLE,"745,71"
VENDITE_CLIENTE,ALB,KONI ARJAN,REFRATTARI,"650,35"
VENDITE_CLIENTE,ALB,KONI ARJAN,REFRATTARI RETTIFICATI,"775,20"
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,COPERTURE,"3.875,36"
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,COTTO A MANO ANTICHE TERRE,"6,97"
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,LINEA ARCHEO,"546,52"
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,MATTONE PIENO,"4.620,00"
VENDITE_CLIENTE,AN,B.M. EDILIZIA SRL,PIASTRELLE,"7,81"
VENDITE_CLIENTE,AN,NUOVA COMES SRL,MATTONE PIENO,"3.365,68"
VENDITE_CLIENTE,ALB,KONI ARJAN,FACCIAVISTA,"18.914,08"

## SEZIONE 4: RIEPILOGO PER CATEGORIA
Tipo_Dato,Categoria,Importo_Totale,Provincia_1,Clienti_Prov_1,Provincia_2,Clienti_Prov_2
CATEGORIA_RIEPILOGO,COPERTURE,"62.125,49",AN,5,PU,3
CATEGORIA_RIEPILOGO,CORRIM.COPRIM.,"540,00",AN,0,PU,0
CATEGORIA_RIEPILOGO,COTTO A MANO ANTICHE TERRE,"23,62",AN,2,PU,2
CATEGORIA_RIEPILOGO,FACCIAVISTA,"20.585,36",AN,1,PU,1
CATEGORIA_RIEPILOGO,GANCI E ACCESSO,"0,00",AN,0,PU,0
CATEGORIA_RIEPILOGO,LINEA ARCHEO,"546,52",AN,1,PU,0
CATEGORIA_RIEPILOGO,MATTONE PIENO,"44.296,24",AN,6,PU,3
CATEGORIA_RIEPILOGO,OUTLET,"5.726,50",AN,0,PU,0
CATEGORIA_RIEPILOGO,PAVIMENTAZIONE POLIS,"0,00",AN,0,PU,0
CATEGORIA_RIEPILOGO,PEZ.SPEC.COPPI,"0,00",AN,0,PU,0
CATEGORIA_RIEPILOGO,PIASTRELLE,"3.289,88",AN,2,PU,2
CATEGORIA_RIEPILOGO,PRODOTTI FORNO,"0,00",AN,0,PU,0
CATEGORIA_RIEPILOGO,TAVELLONI,"0,00",AN,0,PU,0
CATEGORIA_RIEPILOGO,REFRATTARI,"650,35",AN,0,PU,0
CATEGORIA_RIEPILOGO,REFRATTARI RETTIFICATI,"775,20",AN,0,PU,0
CATEGORIA_RIEPILOGO,PROMOZIONALI,"0,00",AN,0,PU,0

## SEZIONE 5: RIPARTIZIONE FATTURATO
Tipo_Dato,Categoria_Prodotto,Importo,Percentuale
RIPARTIZIONE,Pieni_e_Coppi,109.359,33,83
RIPARTIZIONE,Altro,23.124,44,17

## RIEPILOGHI FINALI
Tipo_Dato,Descrizione,Valore
TOTALE,Fatturato_Totale,0.00
TOTALE,Fatturato_LT,0.00
TOTALE,Fatturato_RM,0.00
TOTALE,Clienti_Totali,0
TOTALE,Clienti_LT,0
TOTALE,Clienti_RM,0
