# DATI STATISTICHE AGENTE
# Codice Agente: 631.00238
# Ragione Sociale: CARABOT NATALINO
# Periodo: 01/01/2025 - 24/08/2025

## SEZIONE 1: VERIFICA OBIETTIVI
Tipo_Dato,Provincia,Anno_Precedente,Anno_Corrente,Obiettivo,Percentuale_Obiettivo,Clienti_Anno_Precedente,Clienti_Anno_Corrente,Obiettivo_Clienti,Percentuale_Obiettivo_Clienti
OBIETTIVI,Generale,80238.72,90159.79,,,352,20,,
OBIETTIVI,LT,79029.16,82389.23,135000.00,38,23,18,35,51

## SEZIONE 2: CLIENTI SERVITI PER PROVINCIA
Tipo_Dato,Provincia,Clienti_Serviti,Fatturato
CLIENTI_PROVINCIA,LT,18,60437.22
CLIENTI_PROVINCIA,RM,2,7770.56

## SEZIONE 3: DETTAGLIO VENDITE PER CLIENTE
Tipo_Dato,Provincia,Ragione_Sociale_Cliente,Categoria_Articoli,Fatturato
VENDITE_CLIENTE,LT,EDILIZIA SETINA S.R.L.,MATTONE PIENO,1512.00
VENDITE_CLIENTE,LT,EDILIZIA SETINA S.R.L.,PAVIMENTAZIONE POLIS,1665.62
VENDITE_CLIENTE,LT,ROSSETTI EDILIZIA SRL,FACCIAVISTA,583.78
VENDITE_CLIENTE,LT,ROSSETTI EDILIZIA SRL,LINEA ARCHEO,743.00
VENDITE_CLIENTE,LT,ROSSETTI EDILIZIA SRL,MATTONE PIENO,151.20
VENDITE_CLIENTE,LT,ROSSETTI EDILIZIA SRL,PAVIMENTAZIONE POLIS,416.40
VENDITE_CLIENTE,LT,F.LLI TORA SRL,COPERTURE,3.36
VENDITE_CLIENTE,LT,F.LLI TORA SRL,LINEA ARCHEO,1.74
VENDITE_CLIENTE,LT,F.LLI TORA SRL,MATTONE PIENO,3110.40
VENDITE_CLIENTE,LT,F.LLI TORA SRL,PAVIMENTAZIONE POLIS,1382.40
VENDITE_CLIENTE,LT,ADDESSI COMMERCIALE SRL,MATTONE PIENO,3693.60
VENDITE_CLIENTE,LT,ADDESSI COMMERCIALE SRL,OUTLET,0.01
VENDITE_CLIENTE,LT,ADDESSI COMMERCIALE SRL,PIASTRELLE,1240.95
VENDITE_CLIENTE,LT,CENTRO EDILE DE GREGORIS SRL,CORRIM.COPRIM.,73.26
VENDITE_CLIENTE,LT,CENTRO EDILE DE GREGORIS SRL,MATTONE PIENO,7776.00
VENDITE_CLIENTE,LT,CENTRO EDILE DE GREGORIS SRL,PAVIMENTAZIONE POLIS,8.67
VENDITE_CLIENTE,LT,CENTRO EDILE DE GREGORIS SRL,REFRATTARI RETTIFICATI,1281.60
VENDITE_CLIENTE,LT,STENI SRL,MATTONE PIENO,547.20
VENDITE_CLIENTE,LT,STENI SRL,PAVIMENTAZIONE POLIS,984.96
VENDITE_CLIENTE,RM,DOVAL SRL,REFRATTARI,1019.82
VENDITE_CLIENTE,LT,ROSANCOS SRL,MATTONE PIENO,1528.80
VENDITE_CLIENTE,LT,ROSANCOS SRL,PAVIMENTAZIONE POLIS,604.80
VENDITE_CLIENTE,LT,EDILCERAMICA SAS DI VEGLIA CRISTIAN & C.,MATTONE PIENO,1440.00
VENDITE_CLIENTE,LT,D'URSO MAT.DA COSTRUZIONE DI D'URSO S. & C SAS,MATTONE PIENO,3744.00
VENDITE_CLIENTE,LT,D'URSO MAT.DA COSTRUZIONE DI D'URSO S. & C SAS,PAVIMENTAZIONE POLIS,832.81
VENDITE_CLIENTE,LT,DIMED SRL,MATTONE PIENO,1326.96
VENDITE_CLIENTE,LT,BIANCHI INNOCENZO SAS DI BIANCHI ANNA RITA & C,MATTONE PIENO,1209.60
VENDITE_CLIENTE,LT,BIANCHI INNOCENZO SAS DI BIANCHI ANNA RITA & C,REFRATTARI,900.83
VENDITE_CLIENTE,LT,BIANCHI INNOCENZO SAS DI BIANCHI ANNA RITA & C,REFRATTARI RETTIFICATI,1935.58
VENDITE_CLIENTE,LT,EDILIM SRL,MATTONE PIENO,1370.88
VENDITE_CLIENTE,LT,EDILIM SRL,PAVIMENTAZIONE POLIS,984.96
VENDITE_CLIENTE,LT,EDILIZIA VENDITTI DI VENDITTI GIOVANNI E C. SNC,MATTONE PIENO,3456.00
