# DATI STATISTICHE AGENTE,Source_File
# Codice Agente: 631.00263,631.00263_G2G-TRADE-CONSULTING-SRL
# Ragione Sociale: G2G TRADE CONSULTING SRL,631.00263_G2G-TRADE-CONSULTING-SRL
# Periodo: 01/01/2025 - 31/08/2025,631.00263_G2G-TRADE-CONSULTING-SRL
## SEZIONE 1: VERIFICA OBIETTIVI,631.00263_G2G-TRADE-CONSULTING-SRL
Tipo_Dato,Provincia,Anno_Precedente,Anno_Corrente,Obiettivo,Percentuale_Obiettivo,Clienti_Anno_Precedente,Clienti_Anno_Corrente,Obiettivo_Clienti,Percentuale_Obiettivo_Clienti,631.00263_G2G-TRADE-CONSULTING-SRL
OBIETTIVI,Generale,100612.29,132483.77,,,183,14,,,631.00263_G2G-TRADE-CONSULTING-SRL
OBIETTIVI,AN,56773.08,75247.30,90000.00,"70,%",7,7,15,"46,%",631.00263_G2G-TRADE-CONSULTING-SRL
OBIETTIVI,PU,43839.21,28424.27,90000.00,"31,%",7,5,15,"33,%",631.00263_G2G-TRADE-CONSULTING-SRL
## SEZIONE 2: CLIENTI SERVITI PER PROVINCIA,631.00263_G2G-TRADE-CONSULTING-SRL
Tipo_Dato,Provincia,Clienti_Serviti,Fatturato,631.00263_G2G-TRADE-CONSULTING-SRL
CLIENTI_PROVINCIA,AN,7,63306.02,631.00263_G2G-TRADE-CONSULTING-SRL
CLIENTI_PROVINCIA,PU,5,28405.71,631.00263_G2G-TRADE-CONSULTING-SRL
CLIENTI_PROVINCIA,ALB,2,47726.28,631.00263_G2G-TRADE-CONSULTING-SRL
## SEZIONE 3: DETTAGLIO VENDITE PER CLIENTE,631.00263_G2G-TRADE-CONSULTING-SRL
Tipo_Dato,Provincia,Ragione_Sociale_Cliente,Categoria_Articoli,Fatturato,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,GAGLIARDINI SRL,COPERTURE,8230.00,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,GAGLIARDINI SRL,MATTONE PIENO,5396.16,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,GAGLIARDINI SRL,PIASTRELLE,2526.39,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,EDILMUSONE SRL,COPERTURE,2415.00,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,EDILMUSONE SRL,MATTONE PIENO,1987.20,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,TITTARELLI EDILIZIA SRL,COPERTURE,4070.00,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,TITTARELLI EDILIZIA SRL,COTTO A MANO ANTICHE TERRE,0.08,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,GIUSTO GOSTOLI SRL MATERIALI EDILI,FACCIAVISTA,0.88,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,GIUSTO GOSTOLI SRL MATERIALI EDILI,PIASTRELLE,4.65,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,EDILNOVA FRONTONE SRL,COPERTURE,8932.00,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,EDILNOVA FRONTONE SRL,COTTO A MANO ANTICHE TERRE,12.32,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,EDILNOVA FRONTONE SRL,MATTONE PIENO,1305.60,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,FERRAMENTA SARTI SRL,COPERTURE,4356.00,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,FERRAMENTA SARTI SRL,MATTONE PIENO,691.20,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,EDIL PIEFFE SRL,MATTONE PIENO,7286.40,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,RI.M.EDIL SRL,COPERTURE,5720.00,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,GIACCHE' SRL,FACCIAVISTA,1670.40,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,AN,GIACCHE' SRL,MATTONE PIENO,18662.40,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,EDILIZIA PIERETTI SRL,COPERTURE,4404.69,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,EDILIZIA PIERETTI SRL,COTTO A MANO ANTICHE TERRE,4.25,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,EDILIZIA PIERETTI SRL,MATTONE PIENO,729.60,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,PU,EDILIZIA PIERETTI SRL,PIASTRELLE,5.32,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,COPERTURE,20122.44,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,CORRIM.COPRIM.,540.00,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,MATTONE PIENO,252.00,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,OUTLET,5726.50,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,PIASTRELLE,745.71,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,REFRATTARI,650.35,631.00263_G2G-TRADE-CONSULTING-SRL
VENDITE_CLIENTE,ALB,KONI ARJAN,REFRATTARI RETTIFICATI,775.20,631.00263_G2G-TRADE-CONSULTING-SRL
